date, pm25, pm10, o3, no2, so2
2024/4/1, 4, 4, 35, 2, 
2024/4/2, 9, 4, 35, 1, 
2024/4/3, 9, 7, 35, 4, 
2024/4/4, 15, 5, 40, , 
2024/4/5, 10, 10, 45, , 
2024/4/6, 14, 23, 45, , 
2024/4/7, 28, , , , 
2024/1/1, 14, 2, 27, 1, 
2024/1/2, 6, 3, 29, 2, 
2024/1/3, 9, 7, 26, 8, 
2024/1/4, 19, 6, 23, 8, 
2024/1/5, 22, 6, 22, 3, 
2024/1/6, 23, 6, 15, 2, 
2024/1/7, 27, 8, 15, 5, 
2024/1/8, 33, 18, 13, 8, 
2024/1/9, 63, 32, 3, 10, 
2024/1/10, 96, 28, 9, 11, 
2024/1/11, 88, 41, 9, 9, 
2024/1/12, 119, 41, 10, 13, 
2024/1/13, 120, 20, 11, 18, 
2024/1/14, 65, 23, 12, 16, 
2024/1/15, 75, 23, 21, 13, 
2024/1/16, 74, 2, 24, 2, 
2024/1/17, 7, 3, 23, , 
2024/1/18, 9, 14, 18, 6, 
2024/1/19, 51, 19, 18, 9, 
2024/1/20, 64, 15, 18, 18, 
2024/1/21, 49, 7, 20, 12, 
2024/1/22, 23, 12, 20, 12, 
2024/1/23, 33, 8, 21, 9, 
2024/1/24, 22, 12, 12, 11, 
2024/1/25, 40, 13, 15, 10, 
2024/1/26, 40, 9, 18, 6, 
2024/1/27, 35, 10, 24, 10, 
2024/1/28, 35, 7, 26, 4, 
2024/1/29, 23, 14, 22, 12, 
2024/1/30, 39, 22, , 10, 
2024/1/31, 62, 22, 16, 10, 
2024/2/1, 60, 6, 19, 6, 
2024/2/2, 22, 13, 11, 10, 
2024/2/3, 46, 21, 7, 9, 
2024/2/4, 68, 37, 3, 14, 
2024/2/5, 81, 19, 15, 10, 
2024/2/6, 55, 14, 22, 8, 
2024/2/7, 36, 10, 26, 3, 
2024/2/8, 23, 7, 25, 2, 
2024/2/9, 17, 3, 24, 4, 
2024/2/10, 9, 6, 21, 5, 
2024/2/11, 20, 7, 11, 6, 
2024/2/12, 26, , , 10, 
2024/2/13, 32, 15, 16, 13, 
2024/2/14, 42, 12, 30, 11, 
2024/2/15, 32, 6, 29, 4, 
2024/2/16, 12, 7, 22, 3, 
2024/2/17, 23, 9, 19, 3, 
2024/2/18, 33, 6, 23, 4, 
2024/2/19, 19, 9, 23, 4, 
2024/2/20, 28, 12, 30, 8, 
2024/2/21, 39, 4, 36, 1, 
2024/2/22, 12, , 26, 3, 
2024/2/23, 8, 2, 29, 2, 
2024/2/24, 5, 2, 29, , 
2024/2/25, 4, 2, 27, 2, 
2024/2/26, 4, 13, 15, 4, 
2024/2/27, 47, 23, 17, 3, 
2024/2/28, 74, 17, 27, 7, 
2024/2/29, 52, 6, 27, 6, 
2024/3/1, 20, 4, 34, 1, 
2024/3/2, 10, 3, 32, 7, 
2024/3/3, 13, 8, 19, 8, 
2024/3/4, 28, 4, 25, 8, 
2024/3/5, 14, 6, 25, 7, 
2024/3/6, 21, 13, 29, 11, 
2024/3/7, 43, 4, 34, 1, 
2024/3/8, 9, 3, 36, , 
2024/3/9, 6, 2, 31, 2, 
2024/3/10, 5, 4, 21, 8, 
2024/3/11, 16, 9, 23, 8, 
2024/3/12, 32, 12, 23, 6, 
2024/3/13, 36, 8, 28, 7, 
2024/3/14, 22, 11, 23, 8, 
2024/3/15, 29, 6, 31, 4, 
2024/3/16, 18, 10, 21, 6, 
2024/3/17, 35, 6, 26, 5, 
2024/3/18, 17, 9, 28, 7, 
2024/3/19, 26, 9, 33, 5, 
2024/3/20, 22, 14, 32, 5, 
2024/3/21, 28, 13, , 7, 
2024/3/22, 31, , 31, 4, 
2024/3/23, 25, 4, 31, 2, 
2024/3/24, 13, 10, 34, 5, 
2024/3/25, 25, 12, 33, 3, 
2024/3/26, 22, 2, 31, 5, 
2024/3/27, 9, 4, 37, 1, 
2024/3/28, 8, 29, 34, , 
2024/3/29, 39, 63, 36, 1, 
2024/3/30, 80, 2, 36, , 
2024/3/31, 5, 2, 32, 1, 
2023/10/1, 57, 26, 37, 9, 
2023/10/2, 66, , 30, , 
2023/10/3, 32, 12, 27, 2, 
2023/10/4, 26, 13, 29, , 
2023/10/5, 27, 10, 14, 15, 
2023/10/6, 31, 16, 32, 15, 
2023/10/7, 30, 17, 31, 13, 
2023/10/8, 35, 30, 26, 15, 
2023/10/9, 49, 33, 36, 9, 
2023/10/10, 52, 30, 32, , 
2023/10/11, 53, 22, 29, , 
2023/10/12, 41, 24, 32, 10, 
2023/10/13, 45, 15, 28, , 
2023/10/14, 30, 9, 24, , 
2023/10/15, 19, 15, 16, 6, 
2023/10/16, 24, 15, 27, 5, 
2023/10/17, 27, 12, 28, 1, 
2023/10/18, 17, 6, 28, 4, 
2023/10/19, 14, 3, 26, 2, 
2023/10/20, 4, 3, 29, 1, 
2023/10/21, 6, 5, 24, 4, 
2023/10/22, 13, 21, 28, 5, 
2023/10/23, 30, 7, 16, 7, 
2023/10/24, 18, 3, 23, 2, 
2023/10/25, 6, 3, 22, , 
2023/10/26, 7, 3, 29, 3, 
2023/10/27, 7, 5, 32, 1, 
2023/10/28, 12, 6, 33, , 
2023/10/29, 17, 6, 32, 3, 
2023/10/30, 17, 5, 22, 6, 
2023/10/31, 12, 5, 28, 3, 
2023/11/1, 13, , 28, 2, 
2023/11/2, 9, 2, 24, 3, 
2023/11/3, 5, 2, 30, , 
2023/11/4, 5, 3, 29, 1, 
2023/11/5, 7, 3, 27, 3, 
2023/11/6, 6, 5, , 7, 
2023/11/7, 14, 11, 26, 9, 
2023/11/8, 30, 3, 28, 4, 
2023/11/9, 8, 3, 24, 3, 
2023/11/10, 7, 7, 22, 5, 
2023/11/11, 22, 6, 24, 3, 
2023/11/12, 18, 5, 22, 6, 
2023/11/13, 11, 4, 21, 5, 
2023/11/14, 8, 9, 21, 7, 
2023/11/15, 23, 9, 26, 6, 
2023/11/16, 25, 5, 22, 7, 
2023/11/17, 16, 14, 12, 12, 
2023/11/18, 44, 10, 13, 10, 
2023/11/19, 32, 11, 8, 11, 
2023/11/20, 34, 7, 16, 7, 
2023/11/21, 22, 8, 15, 4, 
